DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EL,2020,5503077,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EL,2021,5482584,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,ES,2012,23719207,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,ES,2013,23710130,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,ES,2014,23634738,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,ES,2015,23623019,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,ES,2016,23632635,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,ES,2017,23693426,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,ES,2018,23776565,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,ES,2019,23927801,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,ES,2020,24133301,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,ES,2021,24171413,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2007,2012,256081433,b
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2007,2013,256575681,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2007,2014,257527380,b
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2007,2015,258115133,b
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2007,2016,258718587,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2007,2017,259265438,b
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2007,2018,259766174,p
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2007,2019,260015155,bep
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2020,2012,226006146,b
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2020,2013,226300167,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2020,2014,227036625,b
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2020,2015,227381928,b
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2020,2016,227733475,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2020,2017,228050037,b
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2020,2018,228326248,p
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2020,2019,228372753,bep
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2020,2020,228763757,ep
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU27_2020,2021,228673217,ep
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU28,2012,258295108,b
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU28,2013,258781338,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU28,2014,259724441,b
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU28,2015,260301222,b
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU28,2016,260886459,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU28,2017,261414441,b
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU28,2018,261889868,p
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,EU28,2019,262118829,bep
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,FI,2012,2748733,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,FI,2013,2760052,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,FI,2014,2770906,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,FI,2015,2779890,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,FI,2016,2785818,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,FI,2017,2790970,
ESTAT:DEMO_PJAN(1.0),22/06/22 23:00:00,A,NR,TOTAL,F,FI,2018,2793999,
