Country,Year,Population,female_population,Female deaths,ICSS CRIME,LEGAL STATUS OF PERPETRATOR,Value,per_100k
Croatia,2015,4225316,2186089.0,27987.0,Rape,Prosecuted person,57.0,2.8
Croatia,2015,4225316,2186089.0,27987.0,Rape,Convicted person,35.0,1.7
Croatia,2015,4225316,2186089.0,27987.0,Sexual assault,Suspected person,164.0,8.0
Croatia,2015,4225316,2186089.0,27987.0,Sexual assault,Prosecuted person,314.0,15.4
Croatia,2015,4225316,2186089.0,27987.0,Sexual assault,Convicted person,186.0,9.1
Croatia,2016,4190669,2167872.0,26397.0,Intentional homicide,Suspected person,44.0,2.2
Croatia,2016,4190669,2167872.0,26397.0,Intentional homicide,Prosecuted person,102.0,5.0
Croatia,2016,4190669,2167872.0,26397.0,Intentional homicide,Convicted person,61.0,3.0
Croatia,2016,4190669,2167872.0,26397.0,Rape,Suspected person,137.0,6.8
Croatia,2016,4190669,2167872.0,26397.0,Rape,Prosecuted person,192.0,9.5
Croatia,2016,4190669,2167872.0,26397.0,Rape,Convicted person,86.0,4.3
Croatia,2016,4190669,2167872.0,26397.0,Sexual assault,Suspected person,148.0,7.3
Croatia,2016,4190669,2167872.0,26397.0,Sexual assault,Prosecuted person,71.0,3.5
Croatia,2016,4190669,2167872.0,26397.0,Sexual assault,Convicted person,30.0,1.5
Croatia,2017,4154213,2149003.0,27817.0,Intentional homicide,Suspected person,31.0,1.5
Croatia,2017,4154213,2149003.0,27817.0,Intentional homicide,Prosecuted person,112.0,5.6
Croatia,2017,4154213,2149003.0,27817.0,Intentional homicide,Convicted person,54.0,2.7
Croatia,2017,4154213,2149003.0,27817.0,Rape,Suspected person,136.0,6.8
Croatia,2017,4154213,2149003.0,27817.0,Rape,Prosecuted person,187.0,9.3
Croatia,2017,4154213,2149003.0,27817.0,Rape,Convicted person,86.0,4.3
Croatia,2017,4154213,2149003.0,27817.0,Sexual assault,Suspected person,120.0,6.0
Croatia,2017,4154213,2149003.0,27817.0,Sexual assault,Prosecuted person,89.0,4.4
Croatia,2017,4154213,2149003.0,27817.0,Sexual assault,Convicted person,32.0,1.6
Croatia,2018,4105493,2123694.0,26985.0,Intentional homicide,Suspected person,17.0,0.9
Croatia,2018,4105493,2123694.0,26985.0,Intentional homicide,Prosecuted person,90.0,4.5
Croatia,2018,4105493,2123694.0,26985.0,Intentional homicide,Convicted person,52.0,2.6
Croatia,2018,4105493,2123694.0,26985.0,Rape,Suspected person,125.0,6.3
Croatia,2018,4105493,2123694.0,26985.0,Rape,Prosecuted person,163.0,8.2
Croatia,2018,4105493,2123694.0,26985.0,Rape,Convicted person,85.0,4.3
Croatia,2018,4105493,2123694.0,26985.0,Sexual assault,Suspected person,125.0,6.3
Croatia,2018,4105493,2123694.0,26985.0,Sexual assault,Prosecuted person,80.0,4.0
Croatia,2018,4105493,2123694.0,26985.0,Sexual assault,Convicted person,29.0,1.5
Croatia,2019,4076246,2103674.0,26692.0,Intentional homicide,Suspected person,21.0,1.1
Croatia,2019,4076246,2103674.0,26692.0,Intentional homicide,Prosecuted person,97.0,4.9
Croatia,2019,4076246,2103674.0,26692.0,Intentional homicide,Convicted person,68.0,3.4
Croatia,2019,4076246,2103674.0,26692.0,Rape,Suspected person,150.0,7.6
